Family,Product,Patch,PRB,PRB type,Description
Yokohama,AI Search UX,Yokohama Patch 11,PRB1973402,Other Fix,"Yokohama Patch 11
Genius results are stacked vertically instead of horizontally in Service Portal
This issue occurs in Yokohama and Washington DC."
Yokohama,Activity Stream,Yokohama Patch 11,PRB1973244,Other Fix,"Yokohama Patch 11
Texts do not clear out from Journal fields, such as comments/ work notes, after selecting Save in workspaces
When inserting a text in the Journal fields and going to Save the records, the journal entry is created but the text remains in the box. This happens only when using the Save button, but works correctly when using the Post button.

1. Open any active case, problem, incident in CSM/FSM or Service Operations Workspace (SOW).
2. Insert text into the Internal Info (work notes) and Comments.
3. Select Save.Expected behavior: The text disappears after the user saves it.Actual behavior: The text remains in text box after the user saves it."
Yokohama,OneExtend,Yokohama Patch 11,PRB1972976,Other Fix,"Yokohama Patch 11
One Extend capability is unable to pass the variable value from one capability to another capability in Capabilities chaining
Users notice that the One Extend chaining fails at the size 9001502.
Execute the RAG chaining from background scripts.Notice that in the background script, the result shows one API exception with the following exception message: 'conn=112946863) Could not send query: query size is >=; to max_allowed_packet (33554432) : com.glide.db.DBIError.wrapAndThrow(DBIError.java:178) com.glide.db.DBIError.handleException(DBIError.java:111)'. Also notice that the size of Output column value will be equal to or greater than '9001502' in the one_api_service_plan_feature_invocation table record for RAG Retriever capability after executing the script."
Yokohama,Server-side scripts,Yokohama Patch 11,PRB1972733,Other Fix,"Yokohama Patch 11
Field translations for security integrations are failing and return a null value
The field translations aren't working. On changing the field evaluator.withEnforcedSecurity(false), field translations work as expected."
Yokohama,AI Agents (Glide Family),Yokohama Patch 11,PRB1972682,Other Fix,"Yokohama Patch 11
Role masking is not being honored when running agents and workflows from a background channel
Execute the script.Expected behavior: Access should be blocked.Actual behavior: Access is not blocked."
Yokohama,Server-side scripts,Yokohama Patch 11,PRB1972229,Other Fix,"Yokohama Patch 11
Static analysis for sandbox security
This is a product update."
Yokohama,AI Search UX,Yokohama Patch 11,PRB1972080,Other Fix,"Yokohama Patch 11
Console errors on Service Portal (SP) for non-synthesized GRs (although functionally everything works as expected)

1. On a Yokohama or Zurich instance, disable Synthesized GRs for SP.
2. Search for a term with which there is more than 1 GRs.Observe errors in the console such as 'Failed to load @devsnc/sn-search-genius-card-assist'."
Yokohama,Virtual Agent,Yokohama Patch 11,PRB1971595,Other Fix,"Yokohama Patch 11
Click metrics and deflection log

1. Ensure Citation can be selected in the Synthesized Results.
2. Update the output type.
3. Track the previous clicks in sys_cy_analytics.
4. Write back the 'state' of the citation clicked/auto-started to the 'Output' type column for completed asset tracking.
5. Ensure citation/asset selection in Virtual Agent writes the correct deflection type, such as 'Catalog' doesn't equal 'Synthesized'.
6. Update the deflection log to filter out small talk to avoid unnecessary records.Observe that for agentic execution, the ending state is written back to the deflection log."
Yokohama,OneExtend,Yokohama Patch 11,PRB1971589,Other Fix,"Yokohama Patch 11
cypher2Results API is broken with glide record dynamic
A Null Pointer Exception is coming from OneExtend: 'Couldn't decipher the stack trace resulting from the following JavaScriptException.'"
Yokohama,AI Agents (Glide Family),Yokohama Patch 11,PRB1971370,Other Fix,"Yokohama Patch 11
Mandatory inputs are not checked prior to tool execution to handle missing inputs"
Yokohama,AI Search UX,Yokohama Patch 11,PRB1971350,Other Fix,"Yokohama Patch 11
When Hybrid Search is enabled, the total count is missing
With Hybrid Search on, only facet count should not be shown.

1. Enable DW or Hybrid Search on /sp on any nowassist instance.
2. Query 'what is spam'.Observe that the total count is missing."
Yokohama,Now Assist Panel,Yokohama Patch 11,PRB1971138,Other Fix,"Yokohama Patch 11
No tags are passed from the Now Assist Panel
When NAP is queried, the user is not getting the correct response and no records are displayed even when the data exists."
Yokohama,Advanced Work Assignment,Yokohama Patch 11,PRB1970818,Other Fix,"Yokohama Patch 11
Add support for AI Agents in AWA
This is a product update."
Yokohama,Virtual Agent,Yokohama Patch 11,PRB1970662,Other Fix,"Yokohama Patch 11
Gemini web search does not work on Yokohama Now Assist and the latest Zurich builds
Web search response is not generated in the UI, but the GenAI log shows a ""Gemini AI answer"" received response."
Yokohama,Agent Chat,Yokohama Patch 11,PRB1970504,Other Fix,"Yokohama Patch 11
Skip read-only states that are not the current state
This is a product update."
Yokohama,AI Agents (Glide Family),Yokohama Patch 11,PRB1970451,Other Fix,"Yokohama Patch 11
ACL cache retrieval behaves differently for hierarchies; the returned value is not the same as the one stored in the cache
Behavior differs between no cache runs and cache filled runs."
Yokohama,Flows,Yokohama Patch 11,PRB1970310,Other Fix,"Yokohama Patch 11
Remove the now.assist.creator role"
Yokohama,AI Agents (Glide Family),Yokohama Patch 11,PRB1970081,Other Fix,"Yokohama Patch 11
Agent/Workflow Access not working for elevated roles
Although the user is shown to have the elevated roles, the user appears to be blocked from accessing the agent after testing the Agent Access.

1. Create an instance with the latest track or znowassist.
2. Run the December deployment plan.
3. Create an agent.
4. Restrict the access and roles to couple of elevated roles.
5. Create a user.
6. Assign these elevated roles to the user.
7. Test the Agent Access from the Agent Studio against the user.Observe that the initial screen shows the user has these elevated roles. However, after running the test, the results show that the user is blocked from accessing the agent. However, the ACL check fails, but the role masking still passes."
Yokohama,Platform Analytics Dashboard API,Yokohama Patch 11,PRB1970055,Other Fix,"Yokohama Patch 11
Remove 'formVizDesigner' parameter from PARVisDesignerVisualizationQuery
This is a product update."
Yokohama,Email Notifications,Yokohama Patch 11,PRB1970015,Other Fix,"Yokohama Patch 11
The Sparkle icon hides text in the email composer
It shouldn't hide text.

1. Open the email composer.
2. Generate text using Email recommendation skill.
3. Place the cursor in between a sentence, the sparkle hides the text in the editor.Expected behavior: The NACM Sparkle is positioned at the bottom of the cursor so that it doesn't hide text.Actual behavior: The Sparkle icon hides text in the email composer."
Yokohama,Virtual Agent,Yokohama Patch 11,PRB1969981,Other Fix,"Yokohama Patch 11
Security bug
"
Yokohama,On-Call Scheduling,Yokohama Patch 11,PRB1969614,Other Fix,"Yokohama Patch 11
Security bug
"
Yokohama,Case and Knowledge Management for HR Service Delivery,Yokohama Patch 11,PRB1969574,Other Fix,"Yokohama Patch 11
Create Task Form relies on an API that is not available in Yokohama

1. Install HR Core, LE, LE Ent, JA, UI Lib, and JD on Yokohama.
2. Enable team tasks for the onboarding configuration.
3. Create an onboarding journey.
4. Attempt to create a catalog task.Notice that the catalog item drop-down list will be broken or the ref qual won't work."
Yokohama,Change Management,Yokohama Patch 11,PRB1969230,Other Fix,"Yokohama Patch 11
Security bug
"
Yokohama,Virtual Agent,Yokohama Patch 11,PRB1969087,Other Fix,"Yokohama Patch 11
&para is getting converted to the paragraph symbol in sys_cs_conversation"
Yokohama,Web UX Runtime,Yokohama Patch 11,PRB1968992,Other Fix,"Yokohama Patch 11
There is a blank page in the custom workspace when users log in for the first time, or after they clear the cache
This issue occurs after upgrading Yokohama. The user notices that the Verify Guided Upgrade take a while to load when it's the first time logging into the instance.

1. Navigate to Admin MenuUpgrade Management.
2. Select Get started from the Overview page.Notice that the Verify Guided Upgrade takes a long time to load when it's the user's first time logging into the instance."
Yokohama,Timeline Visualizations,Yokohama Patch 11,PRB1968978,Other Fix,"Yokohama Patch 11
Security bug
"
Xanadu,HR Service Delivery,Xanadu Patch 11,PRB1968889,Other Fix,"Xanadu Patch 11
Security bug
"
Yokohama,Restricted Caller Access (RCA),Yokohama Patch 11,PRB1968390,Other Fix,"Yokohama Patch 11
AI Agent tool is unable to generate RCAs and GlideScopedEvaluator is not honored
When an AI Agent tool in scope A accesses a table from scope B, the tool in scope A is unable to access the scope of the table in scope B."
Yokohama,Schedule Optimization,Yokohama Patch 11,PRB1968292,Other Fix,"Yokohama Patch 11
Tasks are not assigned even though ML Predictor results say that a task should be assigned"
Yokohama,UI Form Administration,Yokohama Patch 11,PRB1968060,Other Fix,"Yokohama Patch 11
Forms break when 'glide.ui.escape_text' is set to false
An error occurs reading, 'The entity name must immediately follow the '&' in the entity reference' and a blank page loads."
Yokohama,Virtual Agent,Yokohama Patch 11,PRB1967329,Other Fix,"Yokohama Patch 11
QnA utterances in NAVA are missing 'Let me look up information related to ...' before it generates the response
In NAVA, when the user enters the utterance 'What is spam?', the user should see 'Let me look up information related to ...' before a response is generated. However, it goes directly to 'View AI Steps' followed by the actual response."
Yokohama,Software Asset Data Import,Yokohama Patch 11,PRB1967199,Other Fix,"Yokohama Patch 11
Invalid delete for contract import causes no records to be imported
An empty column 'A' is deleted when importing MLS documents. However, this deletion incorrectly occurs for contract imports as well.

1. Initiate the contract analysis flow through SAM workspace by creating a software license contract and import a contract document.
2. Once extraction completes, move to step 2.
3. Select Submit
4. Move to step 3.Expected behavior: Entitlements from the contract document should be processed and imported.Actual behavior: No entitlements are imported."
Yokohama,AI Search UX,Yokohama Patch 11,PRB1966920,Other Fix,"Yokohama Patch 11
The 'Now Assist detected and ...' alert is shown on the top results card when sensitivityFilter.hasMatch is false
Sometimes, the payload of final MESSAGE_RECEIVED event has the sensitivityFilter.hasMatch value as a string false. In such cases, the Genius card is hidden and an alert is shown."
Yokohama,Performance Analytics API,Yokohama Patch 11,PRB1966859,Other Fix,"Yokohama Patch 11
All visualizations stop loading when sn_nowassist_skill_config_status is not available on the instance
The table sn_nowassist_skill_config_status comes from com.sn_nowassist_admin, which is a base instance plugin and comes with Glide. However, during instance upgrades, this table is removed by an unknown process. This causes API queries to get the AI skill statuses within the Data Visualization API to encounter Null Pointer Exception. As a result, all visualizations are not rendered properly."
Yokohama,Software Asset Management Content Service,Yokohama Patch 11,PRB1966116,Other Fix,"Yokohama Patch 11
On-prem export does not have the capability to export content payloads filtered by content version"
Yokohama,Virtual Agent,Yokohama Patch 11,PRB1966041,Other Fix,"Yokohama Patch 11
Virtual Agent iframe is rendering with a blank screen
Trying to execute before document.body is available hence lands into an error and breaks the page."
Yokohama,Virtual Agent,Yokohama Patch 11,PRB1965999,Other Fix,"Yokohama Patch 11
QnAproxy chat history shows 'New Message' and 'Show all my options'
This issue is caused by api sn_vad_genai.NowAssistAIAAutoEval().getTranscript() eg."
Yokohama,JVM at Scale,Yokohama Patch 11,PRB1965988,Other Fix,"Yokohama Patch 11
Security bug
"
Yokohama,Now Assist Panel,Yokohama Patch 11,PRB1965617,Other Fix,"Yokohama Patch 11
Legacy NAP doesn't load upon upgrade"
Yokohama,Virtual Agent,Yokohama Patch 11,PRB1965604,Other Fix,"Yokohama Patch 11
An interaction is moved to 'Closed/abandoned' after a manual reassignment to an offline agent
Notice 'Interaction state - 'Closed abandoned', Assigned to - 'Virtual Agent'.'

1. Set an agent as online (admin) and another as an offline user.
2. Start a LA conversation.
3. Do not accept the work item as admin.
4. As an offline user, open the interaction on service workspace and assign it manually to yourself.
5. Send a few messages between the offline user and the requester.
6. Close the chat from the requester side.Expected behavior: Interaction state - 'Closed complete', Assigned to - '[Offline user]'Actual behavior: Interaction state - 'Closed abandoned', Assigned to - 'Virtual Agent'"
Yokohama,Playbooks (Family Channel),Yokohama Patch 11,PRB1965465,Other Fix,"Yokohama Patch 11
Snapshot clean up job doesn't work when there are restricted caller access requests
"
Yokohama,Virtual Agent Web Client,Yokohama Patch 11,PRB1964923,Other Fix,"Yokohama Patch 11
'There is a JavaScript error in your browser console' errors in ESC landing page
A banner with the error message 'There is a JavaScript error in your browser console' appears randomly when it gets to the 'Generating the response' step."
Yokohama,Case and Knowledge Management for HR Service Delivery,Yokohama Patch 11,PRB1964899,Other Fix,"Yokohama Patch 11
Proof of grade and proof of payment are text boxes rather than attachments

1. Navigate to HR cases table (Workspace/ UI16) as an HR agent.
2. Select New.Observe that the fields shown in the UI are Tuition Reimbursement pre-approval fields. Proof of grade and proof of payment are text boxes rather than attachments."
Yokohama,Google Maps OOB integration,Yokohama Patch 11,PRB1964809,Other Fix,"Yokohama Patch 11
Security bug
"
Yokohama,CMDB Data Manager,Yokohama Patch 11,PRB1964689,Other Fix,"Yokohama Patch 11
CMDBRetirementScriptableAPI doesn't handle policies targeting tables that don't begin with 'CMDB'
Data Manager policies that target only tables without 'CMDB' in the start of the table name can't be published or run due to the CMDBRetirementScriptableApi not correctly handling the search for those tables' defined retirement state."
Yokohama,Work Order Management,Yokohama Patch 11,PRB1964615,Other Fix,"Yokohama Patch 11
The Dispatcher Workspace Agents calendar shows availability on holidays
When the system property sn_fsm.use_wm_weekly_resource_p is set to true and the work schedule is connected to the holidays schedule through a child schedule, the holidays do not appear correctly on the DWS calendar."
Yokohama,Discovery,Yokohama Patch 11,PRB1964303,Other Fix,"Yokohama Patch 11
Remove windows path from 'configuration console' on base instance
This is a product update."
Yokohama,HR Service Delivery,Yokohama Patch 11,PRB1964158,Other Fix,"Yokohama Patch 11
New RCAs for Predict and transfer workflow
With the new changes for similar records from GAF, there are new RCAs to be included for Predict and transfer workflow work properly."
Yokohama,Database Persistence,Yokohama Patch 11,PRB1964084,Other Fix,"Yokohama Patch 11
Security bug
"
Yokohama,Application Manager,Yokohama Patch 11,PRB1964007,Other Fix,"Yokohama Patch 11
Sys_prop polluting the update set

1. Open App Manager.
2. Select Sync.
3. Check the current update set record.Observe that it records the current value of sn_appclient.apps_sync_progress."
Yokohama,AI Search UX,Yokohama Patch 10,PRB1963984,Other Fix,"Yokohama Patch 10
Streaming fails when there's a response with numerous citations
When the user searches for a term with 10 or more citations, streaming sometimes gets stuck. It indirectly pushes component into halt and doesn't show feedback options.

1. Provision an instance with Synth GR.
2. Search for a term that would result in 10 or more citations.Observe that the streaming is intermittently stuck, indirectly pushing component into halt and not showing feedback options."
Yokohama,Major Incident Management,Yokohama Patch 11,PRB1963712,Other Fix,"Yokohama Patch 11
Security bug
"
Yokohama,Project Management,Yokohama Patch 11,PRB1963592,Other Fix,"Yokohama Patch 11
Security bug
"
Yokohama,AI Search UX,Yokohama Patch 11,PRB1963505,Other Fix,"Yokohama Patch 11
URLs towards the end of the streaming are rendered as plain text

1. Open an instance where synthesized answers are working.
2. Search a query that would have a URL towards the end of the answer.Observe that the URL is rendered as plain text."
Yokohama,Virtual Agent Web Client,Yokohama Patch 11,PRB1963494,Other Fix,"Yokohama Patch 11
The synthesized response is not displayed completely

1. Log in to the instance.
2. Navigate to /esc portal.
3. Perform multiple searches.Notice that the final response is displayed incompletely on VA web client."
Yokohama,Virtual Agent,Yokohama Patch 11,PRB1963407,Other Fix,"Yokohama Patch 11
For no_answer=true, use the message from Planner 2 and not hard coded fallback message
This is a product update."
Yokohama,Content Publishing,Yokohama Patch 11,PRB1963246,Other Fix,"Yokohama Patch 11
Issue with content template duration calculation with a different date format
If the user changes the date format in sys_property, content template duration calculation is ignored since calculation looks for specific date format of 'yyyy-DD-mm'."
Yokohama,Knowledge Management,Yokohama Patch 11,PRB1962920,Other Fix,"Yokohama Patch 11
Version bump for KC and ECE in anowassist and Zurich track
This is a product update."
Yokohama,Virtual Agent,Yokohama Patch 11,PRB1962876,Other Fix,"Yokohama Patch 11
Interaction Record form does not always pop up when receiving an inbound call
Interaction Record form does not always pop up when receiving inbound calls from multiple sources in short time."
Yokohama,Virtual Agent Designer Legacy,Yokohama Patch 11,PRB1962714,Other Fix,"Yokohama Patch 11
Date picker in AI agent doesn't have the option to skip it

1. Create an AI agent that can collect the 'date'.
2. Ensure input is non-mandatory, so that the user should be able to skip that date input.Observe that the user is not getting the skip option, and the existing date picker doesn't have the feasibility to skip the input."
Yokohama,Flows (Family Channel),Yokohama Patch 11,PRB1962584,Other Fix,"Yokohama Patch 11
The 'Skill Config' drop-down list doesn't load for the action_designer role
The 'Skill Config' drop-down list doesn't load for the flow_designer and action_designer role.

1. Create a flow.
2. Add an action.
3. Add a step called Now Assist Skill.Notice that the 'Skill Config' drop-down list doesn't load for the flow_designer and action_designer role."
Yokohama,Virtual Agent,Yokohama Patch 11,PRB1962510,Other Fix,"Yokohama Patch 11
Empty sys_cs_message is created when Agentic Mode is on

1. Set up Now Assist Virtual Agent (NAVA).
2. Make sure Agentic Mode is turned on.
3. Search 'What is spam?'.
4. Navigate to sys_cs_message.Notice that there's an empty message."
Yokohama,Major Incident Management,Yokohama Patch 11,PRB1962351,Other Fix,"Yokohama Patch 11
Security bug
"
Yokohama,Territory Planning,Yokohama Patch 10,PRB1962239,Other Fix,"Yokohama Patch 10
When the territory model is active, the MP auto push events are generated endlessly
When the territory model is active and auto push in MP is enabled, duplicate auto push events are generated endlessly.

1. Enable the territory model.
2. Create WO and WOT.
3. Make sure that auto push is enabled and progressive push is disabled.
4. Qualify the WOT to update the state from DraftPending dispatch (this triggers the task filter).Expected behavior: One event per WOT is created for auto pushActual behavior: Duplicate auto push events are created endlessly."
Yokohama,Procurement,Yokohama Patch 10,PRB1962139,Other Fix,"Yokohama Patch 10
Enable stockroom receiving for assets which are part of PO
The script include POReceiveManager is essential for receiving Purchase Orders (PO), but in pre-Zurich releases, it's restricted to global scope. Due to this limitation, assets associated with a PO can't be received using the Stockroom Receiving feature. When attempting to receive assets, the following error is displayed: 'Unable to receive the asset. Use the Procurement module or update to the Zurich release or later to continue.'

1. On a Xanadu or Yokohama instance, provision an instance with the following applications installed: 
    1. Hardware Asset Management 13.0
    2. Asset Management Common 13.0
2. Create a PO for a hardware model.
3. Import the assets using ASN.
4. Attempt to receive the assets using one of the following UI actions on the stockroom form: 
    1. Receive assets
    2. Import assetsExpected behavior: Assets are received successfully.Actual behavior: The error message appears, and the asset can't be received."
Yokohama,Service Catalog,Yokohama Patch 11,PRB1962108,Other Fix,"Yokohama Patch 11
Support for Service Portal
This is a product update."
Yokohama,Case and Knowledge Management for HR Service Delivery,Yokohama Patch 11,PRB1961987,Other Fix,"Yokohama Patch 11
HR case and ER case transfer with an attachment is showing up as JSON in AI Case summary
Issue is that style tags are present in a summary. In an AI summary card component, these style tags are rendered, but in a transfer case modal these are not rendered because it is a text area."
Yokohama,Application Rationalization,Yokohama Patch 10,PRB1961778,Other Fix,"Yokohama Patch 10
The info icon doesn't work properly with filters
The overall score for a business application is missing in the Application Rationalization grid and in the size drop-down list in bubble settings.

1. Apply a filter (BC - Leaf node is false).
2. Select the Info icon.
3. Observe that attendance management BA is shown on the side panel, which is expected.
4. Apply an indicator score filter (overscore is empty).
5. Select the Info icon.
6. Observe that attendance management BA is still shown on side panel, and the first record in the grid isn't expected.
7. Select a BA bubble in the Bubbles page.
8. Open the side panel.
9. Navigate to the List page.
10. Return to the Bubbles page.
11. Observe that the side panel BA information disappears from the Bubbles page.
12. Scroll inside the Info panel.
13. Select another BA.Observe that the Info panel opens at the previously scrolled position instead of resetting to the top."
Yokohama,Project Management,Yokohama Patch 11,PRB1961677,Other Fix,"Yokohama Patch 11
When editing the 'Resource rate' and 'Rate override' for the parent RA, it is not reflected in the child RA
A few issues were observed. In scenario 1, editing the 'Resource rate' and 'Rate override' for the parent RA, it is not reflecting to child RA. In scenario 2, when the project start date is changed to Sunday, the Sync resources option is not updating the RA start date to the next working day and the icon keeps showing. In scenario 3, changing the date prior to the task start date shows error message in the platform but not in the RMW grid inline edit."
Yokohama,AI Agents (Glide Family),Yokohama Patch 11,PRB1961342,Other Fix,"Yokohama Patch 11
AI Agent orchestrator retries tools and agents even when it hits a guardrail

1. Turn on Guardian for AI Agents.
2. Execute the HR tuition reimbursement agent with a prompt injection.Notice that the agent memory it keeps the past guardrail failure."
Yokohama,Flows (Family Channel),Yokohama Patch 10,PRB1960705,Other Fix,"Yokohama Patch 10
Create a scriptable API and global script includes for getting execution data
This is a product update."
Yokohama,Roles,Yokohama Patch 11,PRB1960699,Other Fix,"Yokohama Patch 11
Agent role inheritance restriction changes for Q4
This is a product update."
Yokohama,Roles,Yokohama Patch 11,PRB1960698,Other Fix,"Yokohama Patch 11
A new role 'AI User admin' for creating, editing, and role management of AI users
This is a product update."
Yokohama,Access Analysis Instrumentation API,Yokohama Patch 11,PRB1960686,Other Fix,"Yokohama Patch 11
Updates to who can execute Agentic Assets on AI - Access Analyzer
This is a product update."
Yokohama,Playbooks (Family Channel),Yokohama Patch 11,PRB1960675,Other Fix,"Yokohama Patch 11
Remove the now.assist.creator role for a playbook recommendation skill
This is a product update."
Yokohama,AI Gateway - Security,Yokohama Patch 11,PRB1960673,Other Fix,"Yokohama Patch 11
AI Gateway (also known as the Agentic Workflow Hub) feature backport
This is a product update."
Yokohama,Flow Engine,Yokohama Patch 11,PRB1960669,Other Fix,"Yokohama Patch 11
Use a new role context API for role masking in flows
This is a product update."
Yokohama,Email Notifications,Yokohama Patch 11,PRB1960664,Other Fix,"Yokohama Patch 11
Create an email/email draft record creation script to include the global scope
This is a product update."
Yokohama,Authentication,Yokohama Patch 11,PRB1960581,Other Fix,"Yokohama Patch 11
Create an API to get an access token for a voice agent
This is a product update."
Yokohama,Authentication,Yokohama Patch 11,PRB1960580,Other Fix,"Yokohama Patch 11
Authentication for Voice Agents
This is a product update."
Yokohama,Server-side scripts,Yokohama Patch 11,PRB1960493,Other Fix,"Yokohama Patch 11
Regexp regression in invalid unicode sequences
When running gs.info('about'.replace(/[\u]/g, '\\u')). in background scripts, it should print 'about' in legacy and es5 scopes, and 'abo\ut' in es_latest scopes."
Yokohama,Integration Hub,Yokohama Patch 11,PRB1960313,Other Fix,"Yokohama Patch 11
True up changes for the WDF Tokenization Dashboard"
Yokohama,Service Portal,Yokohama Patch 11,PRB1960190,Other Fix,"Yokohama Patch 11
AI tags on Portal controls to indicate AI-populated values
This is a product update."
Yokohama,Service Portal,Yokohama Patch 11,PRB1960135,Other Fix,"Yokohama Patch 11
Approval configurations for widgets and AI Agent
This is a product update."
Yokohama,AI Agents (Glide Family),Yokohama Patch 11,PRB1960134,Other Fix,"Yokohama Patch 11
Resume conversations once the MCP response is received
This is a product update."
Yokohama,Software Asset Management,Yokohama Patch 11,PRB1960131,Other Fix,"Yokohama Patch 11
Inactivate user resolution rules with non-indexed fields
This is a product update."
Yokohama,Virtual Agent,Yokohama Patch 11,PRB1960129,Other Fix,"Yokohama Patch 11
Conversation abruptly ends after a cold start conversation with pre-chat survey enabled
The conversation ends after the survey is complete.

1. Enable pre-chat survey.
2. Navigate to Teams.
3. Type 'what is spam'.
4. Complete the pre-chat survey.Expected behavior: The user should get a response related to the query from step 3.Actual behavior: The conversation ends after the survey is complete."
Yokohama,Integration Authentication,Yokohama Patch 11,PRB1960124,Other Fix,"Yokohama Patch 11
Verbose JWT logs use opaque tokens when AuthLog is enabled"
Yokohama,Database Persistence - Data Scale,Yokohama Patch 10,PRB1959979,Other Fix,"Yokohama Patch 10
Get connections from secondary pool doesn't retry more than once
Retry count is capped because failImmediate is always set to true for secondary pools. This causes some issues with read replica routing."
Yokohama,Now Assist Panel,Yokohama Patch 11,PRB1959755,Other Fix,"Yokohama Patch 11
NAP greeting topic is changed to Now Assist - MidTopic AIS Fallback
This is a product update."
Yokohama,AI Agents (Glide Family),Yokohama Patch 11,PRB1959671,Other Fix,"Yokohama Patch 11
Web Search as a tool doesn't work
There are issues with FDIH Tool mandatory input validation and reference type input handling, which cause execution to get stuck."
Yokohama,Virtual Agent,Yokohama Patch 11,PRB1959534,Other Fix,"Yokohama Patch 11
Virtual Agent is not considering the user's timezone preference on the date/time variable while submitting a catalog item
The system timezone is used when submitting a catalog item instead of the user's preferred timezone.

1. Create a catalog item with a date/time variable.
2. Make it conversational.
3. Impersonate any user.
4. Set the profile timezone to different than the system timezone.
5. Attempt to submit the catalog item from Virtual Agent.Expected behavior: The date/time variable should have user's timezone preference.Actual behavior: The date/time variable has the system timezone set instead of user's timezone preference."
Yokohama,Integration Hub,Yokohama Patch 11,PRB1959514,Other Fix,"Yokohama Patch 11
A support server sends event step executions on MID server
This is a product update."
Yokohama,UI Actions,Yokohama Patch 11,PRB1959513,Other Fix,"Yokohama Patch 11
Include in-product trigger for Agentic workflows
This is a product update."
Yokohama,OneExtend,Yokohama Patch 11,PRB1959512,Other Fix,"Yokohama Patch 11
In One Extend, check for a cached response from the cache and avoid making Now LLM calls (async)
This is a product update."
Yokohama,OneExtend,Yokohama Patch 11,PRB1959511,Other Fix,"Yokohama Patch 11
One Extend 'define capability' input attributes to be used for caching
This is a product update."
Yokohama,List Administration,Yokohama Patch 11,PRB1959510,Other Fix,"Yokohama Patch 11
Backport the filter overview to Yokohama
This is a product update."
Yokohama,OneExtend,Yokohama Patch 11,PRB1959509,Other Fix,"Yokohama Patch 11
GAIC performance improvements
This is a product update."
Yokohama,OneExtend,Yokohama Patch 11,PRB1959508,Other Fix,"Yokohama Patch 11
Open GenAI Log text columns to admins while protecting HR records for only HR admins
This is a product update."
Yokohama,OneExtend,Yokohama Patch 11,PRB1959506,Other Fix,"Yokohama Patch 11
Make configuring whitelist more user friendly
This is a product update."
Yokohama,OneExtend,Yokohama Patch 11,PRB1959505,Other Fix,"Yokohama Patch 11
Performance improvement in OneExtend with respect to cache warmup
This is a product update."
Yokohama,OneExtend,Yokohama Patch 11,PRB1959504,Other Fix,"Yokohama Patch 11
In One Extend, check for a cached response from the cache and avoid making Now LLM calls (sync)
This is a product update."
Yokohama,OneExtend,Yokohama Patch 11,PRB1959503,Other Fix,"Yokohama Patch 11
Model versioning API for the Now Assist admin UI
This is a product update."
Yokohama,OneExtend,Yokohama Patch 11,PRB1959502,Other Fix,"Yokohama Patch 11
Support model versioning in GAIC
This is a product update."
Yokohama,OneExtend,Yokohama Patch 11,PRB1959501,Other Fix,"Yokohama Patch 11
Add unit tests
This is a product update."
