"uid","name","description","owner","owner_uid","publication_stage","audience","approval_status","provenance","type","category","tags","url","api_endpoint","creation_date","last_data_updated_date","last_metadata_updated_date","domain","derived_view","visits","downloads","row_count","column_count","contact_email","license","attribution","attribution_link","published_version_name","published_version_uid","parent_uid","dataowner_department","department_department","refreshfrequency_frequency","transparencyapp_application","dataowner_owner"
"nube-4pmr","Landsburg Fish Ladder Annual Salmon Counts","The Landsburg Fish Ladder was constructed in 2003 at the Landsburg Diversion Dam at River Mile 23 on the Cedar River.  Data includes annual (Return Year) salmon counts by species as well as by sex and adipose fin status, where known.  Fish counts are obtained either through manual sorting (Sorted) or by analyzing fish camera videos (Fish Camera).  Data are collected as part of the Habitat Conservation Plan and Landsburg Mitigation Agreement. 

Methods and data summaries are available in the Fish Ladder Annual Reports (SPU).

Most recent Annual Report can be found here: https://archives.seattle.gov/digital-collections/index.php/Detail/objects/278289

Past Annual Reports: https://archives.seattle.gov/digital-collections/index.php/Detail/collections/2593

For more information visit:
https://www.seattle.gov/utilities/protecting-our-environment/our-water-sources/habitat-conservation-plan/fish/landsburg-fish-passage","Julia Unrein","wfpp-3zhv","published","public","approved","official","dataset","Built Environment","sockeye,salmon,coho,chinook,fish,fish ladder,fish passage,hcp,landsburg,lma,cedar river","https://cos-data.seattle.gov/d/nube-4pmr","https://cos-data.seattle.gov/resource/nube-4pmr.json","2025-06-11T21:36:14.000","2025-07-02T15:40:46.000","2025-08-06T22:29:04.000","cos-data.seattle.gov","false","7618","13","177","10",,"Public Domain","Seattle Public Utilities",,,,,,"Seattle Public Utilities","Annually",,
"6yaw-2m8q","2018 Paid Parking Occupancy","The City of Seattle has created an on-street paid parking occupancy data set and is providing access to this data set for public use for research and entrepreneurial purposes under the City’s Open Data Program. This data set contains all records for 2018.","Snyder, MaryCatherine","4pks-8wcm","published","public","approved","official","dataset","Transportation","pay stations,curbspace,sdot,parking","https://cos-data.seattle.gov/d/6yaw-2m8q","https://cos-data.seattle.gov/resource/6yaw-2m8q.json","2018-09-15T19:10:20.000","2019-03-21T22:12:17.000","2025-01-29T05:46:19.000","cos-data.seattle.gov","false","6281","2098","289433487","17","marycatherine.snyder@seattle.gov","Public Domain","Seattle Department of Transportation","http://www.seattle.gov/transportation/projects-and-programs/programs/parking-program/maps-and-data",,,,,"Seattle Department of Transportation","One Time",,
"tik2-ywhq","Picnic Sites","Seattle Parks and Recreation Reservable Picnic Sites

This Dataset feeds the table location on this city website: https://seattle.gov/parks/rentals-and-permits/picnic-rentals","kylegriggs","9jk7-5nih","published","public","approved","official","dataset","Community and Culture","picnic,reservation,reserve,shelter,site,table","https://cos-data.seattle.gov/d/tik2-ywhq","https://cos-data.seattle.gov/resource/tik2-ywhq.json","2016-04-19T23:39:24.000","2024-09-30T19:25:17.000","2025-01-30T04:12:45.000","cos-data.seattle.gov","false","3119","828","52","17","open.data@seattle.gov","Public Domain","City of Seattle",,,,,,"Seattle Parks and Recreation","Annually",,
"98cw-h8mg","Ethnic Artist Roster","The Ethnic Artist Roster is a diverse list of artists of color who were selected through a panel process for exhibition opportunities in city owned or affiliated galleries. This roster is a resource to anyone who is looking for artwork by artists of color or who wants to host a culturally relevant art exhibition. The Ethnic Artist Roster is managed by the Seattle Office of Arts & Culture.","Ele Watts","2atv-iwkd","published","public","approved","official","dataset","Community and Culture",,"https://cos-data.seattle.gov/d/98cw-h8mg","https://cos-data.seattle.gov/resource/98cw-h8mg.json","2019-06-20T19:31:55.000","2021-02-05T23:25:37.000","2025-01-29T06:13:50.000","cos-data.seattle.gov","false","719","570","100","19",,"Public Domain","Office of Arts & Culture",,,,,,"Office of Arts & Culture","Other",,
"bpvk-ju3y","Illegal Dumping Reports","This data set contains selected information for Illegal Dumping service requests, including reports of needles/sharps.","Bolinger, Brandon","eng5-32q9","published","public","approved","official","dataset","City Administration","customer,service request,neighborhood","https://cos-data.seattle.gov/d/bpvk-ju3y","https://cos-data.seattle.gov/resource/bpvk-ju3y.json","2024-04-08T22:54:38.000","2026-03-31T22:07:27.000","2026-03-31T22:06:12.000","cos-data.seattle.gov","false","5488","9300","277179","16",,"Public Domain","City of Seattle",,,,,,"Seattle Public Utilities","Daily",,
"xucb-vzhc","Traffic Counts by Study","This table provides location data and summary statistics of each traffic study. The SDOT Traffic Counts group runs studies across the city to collect traffic volumes. Most studies are done with pneumatic tubes, but some come from video systems as well. Use the field study_id to match it with other tables for more detailed information. Data are binned in 15 minute and 60 minute bins in other tables.

LANE_DESIGNATION_CODE_ID 
1     Standard
2     Right Turn
3     Left Turn
4     Thru Only
5     Thru + Right Turn
6     Thru + Left Turn
7     Aggregate Element
8     Anomaly / Special Event
9     Unknown
10    0
11    1
12    2
13    3
14    4
15    5
16    6

TRAFFIC_FLOW_DIR_ID:
1              N
2              S
3              E
4              W
5              NE
6              SE
7              SW
8              NW
9              REV
10           UNKNOWN
11           TOTAL","Conor, Jeffrey","pf4e-vhvy","published","public","approved","official","dataset","Transportation","traffic counts,counts","https://cos-data.seattle.gov/d/xucb-vzhc","https://cos-data.seattle.gov/resource/xucb-vzhc.json","2023-01-10T21:57:08.000","2026-04-01T06:30:30.000","2026-04-01T06:30:20.000","cos-data.seattle.gov","false","9872","711","63280","31",,"Public Domain","SDOT Traffic Counts Group",,,,,,"Seattle Department of Transportation","Daily",,
"2khk-5ukd","City of Seattle Wage Data","Wage and classification information of City of Seattle Employees. Exclusions may apply for vulnerable populations.","Seattle Dept of Human Resources","esb3-8svb","published","public","approved","official","dataset","City Administration","hourly rate,classification,salary,job title,department,employee name,wage","https://cos-data.seattle.gov/d/2khk-5ukd","https://cos-data.seattle.gov/resource/2khk-5ukd.json","2017-03-03T00:55:03.000","2026-03-30T15:09:19.000","2026-03-30T15:09:16.000","cos-data.seattle.gov","false","277809","70296","13864","5","connor.dooley@seattle.gov","Public Domain","Seattle Department of Human Resources",,,,,,"Seattle Department of Human Resources","Monthly",,
"eqiu-9fdd","Discrimination Case Closures by Month and Type, 2017-Present","A closed discrimination case is an investigation that has been completed at the Seattle Office for Civil Rights (SOCR). This dataset shows closed cases by month and case type.","Beach, Monica","a7mz-bafv","published","public","approved","official","dataset","City Administration","race,harassment,discrimination,disability,civil rights,ocr,office of civil rights","https://cos-data.seattle.gov/d/eqiu-9fdd","https://cos-data.seattle.gov/resource/eqiu-9fdd.json","2024-03-07T18:54:28.000","2026-03-10T18:14:54.000","2026-03-10T18:14:53.000","cos-data.seattle.gov","false","1481","74","68","15","civilrights@seattle.gov","Public Domain","Office of Civil Rights",,,,,,"Seattle Office for Civil Rights","Monthly",,
"5mzj-4rtf","Public Life Data - People Staying","Provides data on people staying still in the space, including total number observed, demographic data, group size, postures, and activities.

------------------------------------------

The City of Seattle Department of Transportation (SDOT) is providing data from the public life studies it has conducted since 2017. These studies consist of measuring the number of people using public space and the types of activities present on select sidewalks across the city, as well as several parks and plazas. The data set is continually updated as SDOT and other parties conduct public life studies using Gehl Institute’s Public Life Data Protocol.

This dataset consists of four component spreadsheets and a GeoJSON file, which provide public life data as well as information about the study design and study locations:

1 Public Life Study: provides details on the different studies that have been conducted, including project information.
https://data.seattle.gov/Transportation/Public-Life-Data-Study/7qru-sdcp

2 Public Life Location: provides details on the sites selected for each study, including various attributes to allow for comparison across sites.
https://data.seattle.gov/Transportation/Public-Life-Data-Locations/fg6z-cn3y

3 Public Life People Moving: provides data on people moving through space, including total number observed, gender breakdown, group size, and age groups.
https://data.seattle.gov/Transportation/Public-Life-Data-People-Moving/7rx6-5pgd

4 Public Life People Staying: provides data on people staying still in the space, including total number observed, demographic data, group size, postures, and activities.

5 Public Life Geography: A GeoJSON file with polygons of every location studied.
https://data.seattle.gov/Transportation/Public-Life-Data-Geography/v4q3-5hvp

Please download and refer to the Public Life metadata document - in the attachment section below - for comprehensive information about all of the Public Life datasets.","Public Life Program","iici-p536","published","public","approved","official","dataset","Community and Culture","sdot,transportation,survey,streets,sidewalks,public space,public life,people staying","https://cos-data.seattle.gov/d/5mzj-4rtf","https://cos-data.seattle.gov/resource/5mzj-4rtf.json","2020-06-04T21:15:09.000","2024-03-06T01:06:07.000","2025-01-29T05:26:30.000","cos-data.seattle.gov","false","10939","475","16962","60","SDOTPublicLife@seattle.gov","Public Domain","Seattle Department of Transportation",,,,,,"Seattle Department of Transportation","Other",,
"yb5c-ur9z","Seattle Department of Construction and Inspections Employee Contact","Contact information for the Seattle Department of Construction and Inspections' staff, including name, title, phone, email, supervisor name, and workgroup.","Callison, Moon","w96u-i3ib","published","public","approved","official","dataset","City Administration","staff directory","https://cos-data.seattle.gov/d/yb5c-ur9z","https://cos-data.seattle.gov/resource/yb5c-ur9z.json","2021-09-30T18:42:55.000","2026-04-01T14:34:37.000","2026-04-01T14:34:36.000","cos-data.seattle.gov","false","83176","2042","412","10",,"Public Domain","SDCI",,,,,,"Seattle Department of Construction & Inspections","Monthly",,
"uy6s-ine5","Tree Service Provider Registry","Database of all active Tree Service Providers registered to do business in Seattle and have met the registration requirements for the Seattle Department of Construction & Inspections (SDCI) registry for tree work on private property, for the Seattle Department of Transportation’s (SDOT) registry for tree work in the public right-of-way, or both. All commercial tree work on private property, including removal, reportable work, or consulting services must be conducted by a SDCI registered tree service provider. All major pruning or tree removal work within the public right-of-way must be conducted by a SDOT registered tree service provider.","Callison, Moon","w96u-i3ib","published","public","approved","official","dataset","Built Environment","tree service provider,tree service,tree service provider registry,service,registry,tree","https://cos-data.seattle.gov/d/uy6s-ine5","https://cos-data.seattle.gov/resource/uy6s-ine5.json","2022-09-23T20:27:37.000","2026-04-01T00:07:00.000","2026-04-01T00:06:58.000","cos-data.seattle.gov","false","121243","363","111","12",,"Public Domain","SDCI",,,,,,"Seattle Department of Construction & Inspections","Other",,
"6qkn-8xvw","PDRs Prior to using ""City of Seattle Public Records Request Center""","PDRs Prior to using ""City of Seattle Public Records Request Center""","spd2internetData","avyg-ej9j","published","public","approved","official","dataset","Public Safety","prior city of seattle public records request center","https://cos-data.seattle.gov/d/6qkn-8xvw","https://cos-data.seattle.gov/resource/6qkn-8xvw.json","2013-09-06T23:20:36.000","2016-09-07T08:15:40.000","2025-01-29T05:40:45.000","cos-data.seattle.gov","false","9762","688","18789","46",,"Public Domain","City of Seattle",,,,,,"Seattle Police Department","Daily",,
"6853-bgsc","Seattle Channel TV Schedule","The broadcast schedule for Seattle’s municipal TV station, featuring programming for the upcoming week. See http://www.seattlechannel.org/ for more information.","Dotson, Pam","ixvn-yuv4","published","public","approved","official","dataset","Community and Culture","city council,mayor,cable,cable tv,government meetings","https://cos-data.seattle.gov/d/6853-bgsc","https://cos-data.seattle.gov/resource/6853-bgsc.json","2014-08-27T19:18:59.000","2026-03-27T21:26:07.000","2026-03-27T21:26:06.000","cos-data.seattle.gov","false","8975","731","6827","6",,"Public Domain","City of Seattle",,,,,,"Seattle Information Technology","Weekly",,
"k7ra-jqqe","Unauthorized Encampment Reports","This data set contains selected information for Unauthorized Encampment service requests.","Bolinger, Brandon","eng5-32q9","published","public","approved","official","dataset","City Administration","customer,neighborhood,human services,service request","https://cos-data.seattle.gov/d/k7ra-jqqe","https://cos-data.seattle.gov/resource/k7ra-jqqe.json","2024-04-08T23:03:31.000","2026-04-01T16:06:39.000","2026-04-01T16:04:26.000","cos-data.seattle.gov","false","9691","197","263440","19",,"Public Domain","City of Seattle",,,,,,"Human Services Department","Daily",,
"uxxb-mmuq","Seattle Rescue Plan","This dataset contains information on all Seattle Rescue Plan programs, their objectives, and budgeted and spending amounts. The Seattle Rescue Plan encompasses nearly $300 million of federal relief the City of Seattle received to help our community respond to and recover from the COVID-19 pandemic’s health and economic impacts. This data will be updated on a quarterly basis to reflect changes in expenditures.","Laura Bet","hu3z-wwch","published","public","approved","official","dataset","City Administration",,"https://cos-data.seattle.gov/d/uxxb-mmuq","https://cos-data.seattle.gov/resource/uxxb-mmuq.json","2022-07-27T21:41:26.000","2024-03-01T20:37:38.000","2025-01-30T04:23:03.000","cos-data.seattle.gov","false","562","103","86","13",,"Public Domain","CBO",,,,,,"Budget Office","Quarterly",,
"4sup-g4bi","Public Disclosure Requests","A list of all records requests submitted to the City of Seattle under RCW 42.56 within the last two years.","Citywide Public Records","iu6m-ts7m","published","public","approved","official","dataset","City Administration","pdr,disclosure,records request,records,public records,government,citywide public records","https://cos-data.seattle.gov/d/4sup-g4bi","https://cos-data.seattle.gov/resource/4sup-g4bi.json","2023-08-30T03:14:08.000","2025-08-15T22:41:55.000","2025-08-15T22:41:47.000","cos-data.seattle.gov","false","748","148","51762","7",,"Public Domain",,,,,,,"Seattle Information Technology","Daily",,
"8u2j-imqx","City of Seattle Operating Budget","City of Seattle Operating Budget","Nicole Evans","4kr2-jpwe","published","public","approved","official","dataset","City Administration","budget","https://cos-data.seattle.gov/d/8u2j-imqx","https://cos-data.seattle.gov/resource/8u2j-imqx.json","2017-09-26T22:28:00.000","2026-03-04T22:47:25.000","2026-03-04T22:47:21.000","cos-data.seattle.gov","false","11143","953","35891","9",,"Public Domain","City of Seattle",,,,,,"Budget Office","One Time",,
"f8kp-sfr3","Closed Case Summaries (2020 - 2021)","This table contains links to all Closed Case Summaries published online from 2020 through 2021. Closed Case Summaries posted between 2015 and 2019 are available on the OPA website at https://www.seattle.gov/opa/news-and-reports/closed-case-summaries.","Eric Seely","avp3-c5p7","published","public","approved","official","dataset","Public Safety","police accountability,office of police accountability,opa","https://cos-data.seattle.gov/d/f8kp-sfr3","https://cos-data.seattle.gov/resource/f8kp-sfr3.json","2020-01-16T18:21:51.000","2023-07-12T18:57:39.000","2025-03-04T14:29:03.000","cos-data.seattle.gov","false","7006","348","703","3","eric.seely@seattle.gov","Public Domain","OPA","http://www.seattle.gov/opa",,,,,"Office of Police Accountability","Other",,
"qktt-2bsy","2019 Paid Parking Occupancy","The City of Seattle has created an on-street paid parking occupancy data set and is providing access to this data set for public use for research and entrepreneurial purposes under the City’s Open Data Program. This data set contains all records for 2019.","Snyder, MaryCatherine","4pks-8wcm","published","public","approved","official","dataset","Transportation","parking,curbspace,pay stations,sdot","https://cos-data.seattle.gov/d/qktt-2bsy","https://cos-data.seattle.gov/resource/qktt-2bsy.json","2019-01-03T19:46:07.000","2020-01-07T12:07:02.000","2025-01-29T23:00:17.000","cos-data.seattle.gov","false","8245","573","286106444","12",,"Public Domain","Seattle Department of Transportation","http://www.seattle.gov/transportation/projects-and-programs/programs/parking-program/maps-and-data",,,,,"Seattle Department of Transportation","One Time",,
"xrnu-8eiq","Park Features By PMAID","This dataset contains a list of features for each park PMAID.","kylegriggs","9jk7-5nih","published","public","approved","official","dataset","Community and Culture",,"https://cos-data.seattle.gov/d/xrnu-8eiq","https://cos-data.seattle.gov/resource/xrnu-8eiq.json","2016-07-20T23:20:51.000","2024-10-04T16:55:14.000","2025-03-04T14:29:02.000","cos-data.seattle.gov","false","8920","393","1045","3","Shehzad.Qureshi@seattle.gov","Public Domain","City of Seattle",,,,,,"Seattle Parks and Recreation","Other",,
"3uar-q5py","2023 Paid Parking Occupancy","The City of Seattle has created an on-street paid parking occupancy data set and is providing access to this data set for public use for research and entrepreneurial purposes under the City’s Open Data Program. This data set contains all records for 2023.","Snyder, MaryCatherine","4pks-8wcm","published","public","approved","official","dataset","Transportation","pay stations,sdot,curbspace,parking","https://cos-data.seattle.gov/d/3uar-q5py","https://cos-data.seattle.gov/resource/3uar-q5py.json","2026-02-16T06:01:24.000","2026-02-19T00:40:26.000","2026-03-16T16:23:11.000","cos-data.seattle.gov","false","1341","10","271400116","12",,"Public Domain","Seattle Department of Transportation","http://www.seattle.gov/transportation/projects-and-programs/programs/parking-program/maps-and-data",,,,,"Seattle Department of Transportation","One Time",,
"hyay-5x7b","Office of Police Accountability Complaints","This dataset represents complaints against employees of the Seattle Police Department (SPD). The data is pulled from dynamic, live databases and is subject to change. Each row represents an individual allegation of misconduct from a Complainant against an individual SPD employee. A single OPA case may contain one or more Complainant(s), Named Employee(s), and Allegation(s) against each Named Employee. Data is denormalized to represent the one-to-many relationship between the Complaint and all the associated allegations. **USE CAUTION WHEN COUNTING**","SPD_AskSPDAnalytics@seattle.gov","hp7p-wh9r","published","public","approved","official","dataset","Public Safety","police,spd,opa,office of police accountability complaints,office of police accountability,complaints","https://cos-data.seattle.gov/d/hyay-5x7b","https://cos-data.seattle.gov/resource/hyay-5x7b.json","2022-09-22T21:23:26.000","2026-04-01T15:05:25.000","2026-04-01T15:04:50.000","cos-data.seattle.gov","false","9888","576","36724","21","SPD_DAP_Comments@seattle.gov","Public Domain",,,,,,,"Seattle Police Department","Daily",,
"ud3x-cvhp","Code Compliance Complaints by Year","Code Compliance complaints by type per year. Sort the Year column by descending order to see the most recent years.","Callison, Moon","w96u-i3ib","published","public","approved","official","dataset","Built Environment","type of complaint,seattle department of construction and inspections,sdci,code enforcement,code compliance complaints by year","https://cos-data.seattle.gov/d/ud3x-cvhp","https://cos-data.seattle.gov/resource/ud3x-cvhp.json","2018-12-12T19:58:03.000","2026-04-01T00:12:07.000","2026-04-01T00:12:06.000","cos-data.seattle.gov","false","13162","404","259","4","moon.callison@seattle.gov","Public Domain","Seattle Department of Construction and Inspections",,,,,,"Seattle Department of Construction & Inspections","Annually",,
"s98k-8imb","2013 Technology Access and Adoption Survey","Before using this data set, refer to instructions below! 
Since 2000, the City's Information Technology Indicators project has been collecting extensive and statistically valid data on residential use of cable tv, broadband adoption and uses (including health, work, education, finance and civic engagement), barriers to broadband adoption, and customer service needs. This project is managed by our Community Technology Program with technical advice from our Citizens Telecommunications and Technology Advisory Board (CTTAB).  
INSTRUCTIONS FOR USING DATA SET
Do not pull down the data set and use it without using the code book. When you run the data set, be sure to refer to the Code Book for invalid or missing values for each question item (variables). 
You must recognize that the data here is unweighted; to replicate the figures in the City’s Information Technology Access and Adoption Report and get values that are representative of Seattle population, you should use the weights. There are 2 weighting variables, one that allows you to use the phone and online survey together (labeled ""weightfin"") and one that is for only the phone survey (labeled ""wgtphoneonly"", which excludes or zeros out everyone in the online survey).","Keyes, David","d6kv-ncuu","published","public","approved","official","dataset","Community and Culture","digital inclusion,technology,seattle department of information technology,neighborhood,internet,digital equity,civic engagement,accessibility,access","https://cos-data.seattle.gov/d/s98k-8imb","https://cos-data.seattle.gov/resource/s98k-8imb.json","2014-04-25T20:34:52.000","2014-04-25T21:34:41.000","2025-01-30T03:40:37.000","cos-data.seattle.gov","false","8101","605","2931","422","communitytechnology@seattle.gov","Public Domain","City of Seattle","http://www.seattle.gov/tech/indicators",,,,,"Seattle Information Technology","One Time",,
"afww-hv6u","Code Compliance Complaints by Month","Code Compliance complaints by type per month. Sort the Date column by descending order to see the most recent months.","Callison, Moon","w96u-i3ib","published","public","approved","official","dataset","Built Environment","seattle department of construction and inspections,sdci,code compliance complaints by month,code enforcement,type of complaints","https://cos-data.seattle.gov/d/afww-hv6u","https://cos-data.seattle.gov/resource/afww-hv6u.json","2018-12-12T20:02:28.000","2026-04-01T00:00:25.000","2026-04-01T00:00:24.000","cos-data.seattle.gov","false","9496","302","2775","4","moon.callison@seattle.gov","Public Domain","Seattle Department of Construction and Inspections",,,,,,"Seattle Department of Construction & Inspections","Monthly",,
"bsgq-948x","Open Budget - Capital Projects Details","This dataset feeds the Capital Projects details section of openbudget.seattle.gov","Nicole Evans","4kr2-jpwe","published","public","approved","official","dataset","City Administration",,"https://cos-data.seattle.gov/d/bsgq-948x","https://cos-data.seattle.gov/resource/bsgq-948x.json","2017-09-26T22:40:40.000","2017-09-26T22:40:43.000","2025-09-17T21:42:06.000","cos-data.seattle.gov","false","906","2060","561","10",,"Public Domain","City of Seattle",,,,,,"Budget Office","One Time",,
"a2k6-wwdn","Seattle Graffiti Daily Summary","This data feeds the graffiti daily dashboard.","Barham, Stephen","j4s5-bhue","published","public","approved","official","dataset","City Administration",,"https://cos-data.seattle.gov/d/a2k6-wwdn","https://cos-data.seattle.gov/resource/a2k6-wwdn.json","2024-04-12T21:08:53.000","2026-04-01T16:11:44.000","2026-04-01T16:11:43.000","cos-data.seattle.gov","false","10312","130","357","6","stephen.barham@seattle.gov","Public Domain",,,,,,,"Office of Mayor","Daily",,
