"Resource name",Url,Platform,"ELIXIR Node","Scientific domain","ELIXIR badge",Description,"Principal investigator","bio.tools link","FAIRsharing link"
ASA3P,https://www.uni-giessen.de/fbz/fb08/Inst/bioinformatik/software/ASAP,,"ELIXIR Germany","Genes and genomes",,"Automated high-throughput assembly, annotation and feature analysis of microbial genome cohorts","Alexander Goesmann",https://bio.tools/ASAAAP,
ASAP,https://asap.epfl.ch/,,"ELIXIR Switzerland","Molecular and cellular structures",,"ASAP (Automated Single-cell Analysis Portal) is a web-based, collaborative portal aimed at democratizing single-cell omics data analyses and to render it more accessible to researchers. ASAP does not require any installation and enables standardized analyses that can be run in minutes by any user without requiring significant computing power. The entire single-cell analysis pipeline is available in ASAP, allowing users to choose from a panel of tools, and guiding them through tutorials.",,https://bio.tools/asap_pipeline,
AspicDB,http://srv00.recas.ba.infn.it/ASPicDB/,,"ELIXIR Italy",,,"Alternative splicing database of human genes and functional annotation of their isoforms using the ASPic algorithm.","Graziano Pesole",https://bio.tools/aspicdb,
"Atomic Charge Calculator",https://acc2.ncbr.muni.cz/,,"ELIXIR Czech Republic","Molecular and cellular structures",,"Atomic Charge Calculator - web application using the Electronegativity Equalization Method.","Radka Svobodová Vařeková / David Sehnal",https://bio.tools/atomicchargecalculator,
AuReMe,http://aureme.genouest.org/,,"ELIXIR France","Molecular and cellular structures",,"AuReMe, is an adaptable workspace for sustainable reconstructions or improvements of genome-scale metabolic models involving personalized pipelines. It is adapted to the metabolic study of non-conventional organisms and microbiomes to ensure that the process is reproducible and documented regardless of the combination of tools used. Among others, modules included in the AuReMe environment are a model-management PADmet module, a wiki-export module, a gap-filling tool for non-conventional organism (meneco), a tool for the reduction of microbial communities based on metabolic complementarities (miscoto) and a package to handle the analysis of large-scale microbiota (Metage2Metabo).","Anne Siegel, Jeanne Got",https://bio.tools/aureme,
"Authentication and Authorization Infrastructure (AAI)",https://www.elixir-europe.org/services/compute/aai,,"ELIXIR Czech Republic, ELIXIR Finland",,,"The ELIXIR AAI (Authentication and Authorisation Infrastructure) is the ELIXIR service portfolio for authenticating users and helping relying services to manage users' access rights in the services. ","Mikael Linden (ELIXIR Finland) and Michal Procházka (ELIXIR Czech Republic)",,
BacDive,https://bacdive.dsmz.de/,,"ELIXIR Germany","Genes and genomes","Core Data Resources","BacDive represents a collection of organism-linked information covering the multifarious aspects of bacterial and archaeal biodiversity. The content encloses information on taxonomy, morphology, physiology, sampling and environmental conditions as well as molecular biology.","Prof. Dr. Jörg Overmann",https://bio.tools/bacdive,https://fairsharing.org/FAIRsharing.aSszvY
BaCelLo,http://gpcr.biocomp.unibo.it/bacello/index.htm,,"ELIXIR Italy","Molecular and cellular structures, Proteins and proteomes",,"Predicts the subcellular localization of proteins in eukaryotes.","Pier Luigi Martelli",https://bio.tools/bacello,
Bakta,https://www.uni-giessen.de/de/fbz/fb08/Inst/bioinformatik/software/bakta,,"ELIXIR Germany","Genes and genomes",,"Bakta is a tool for the rapid and standardised annotation of bacterial genomes and plasmids. It provides dbxref-rich and sORF-including annotations in machine-readable JSON and bioinformatics standard file formats for automatic downstream analysis.",,https://bio.tools/bakta,
"BEAST 2",https://www.beast2.org/,,"ELIXIR Switzerland","Evolution and phylogeny",,"BEAST 2 is an open-source software tool and platform designed for Markov chain Monte Carlo (MCMC)-based Bayesian inference of phylogenetic trees and associated population-level (i.e. phylodynamic) parameters from (primarily) genetic sequence data under a large variety of specific models.","Andrew Rambaut",https://bio.tools/beast2,
BEGDB,http://www.begdb.org/,,"ELIXIR Czech Republic","Molecular and cellular structures",,"Benchmark Energy and geometry DataBase is available through web interface with integrated analytical tools.","Jiří Vondrášek",https://bio.tools/begdb,http://doi.org/10.25504/fairsharing.nbe4fq
"Berlin RNA Toolbox",http://bioinformatics.mdc-berlin.de/rna.html,,"ELIXIR Germany","Genes and genomes",,"Online access to tools and databases related to miRNAs binding site predictions, RNA Binding protein binding sites, circular RNAs, CLIP data analysis and transcriptome analysis","Altuna Akalin, Uwe Ohler, Nikolaus Rajewsky",,
Beyondcell,https://github.com/cnio-bu/beyondcell,,"ELIXIR Spain","Molecular and cellular structures",,"Beyondcell is a computational methodology for identifying tumour cell subpopulations with distinct drug responses in single-cell RNA-seq data and proposing cancer-specific treatments.","Fátima Al-Shahrour",https://bio.tools/beyondcell,
Bgee,https://www.bgee.org/,,"ELIXIR Switzerland","Genes and genomes","Recommended Interoperability Resources","Database to retrieve and compare gene expression patterns between animal species. ","Marc Robinson-Rechavi",https://bio.tools/bgee,http://doi.org/10.25504/fairsharing.x6d6sx
BIBIServ,https://bibiserv.cebitec.uni-bielefeld.de/,,"ELIXIR Germany",,,"The Bielefeld Bioinformatics Server (BiBiServ) hosts bioinformatics tools from the Bielefeld groups and close collaborators.             ","Alexander Sczyrba",,
BIIGLE,https://biigle.de/,,"ELIXIR Germany",,,"BIIGLE is a web service for the efficient and rapid annotation of still images and videos. ",,https://bio.tools/biigle,
bio.tools,https://bio.tools,,"ELIXIR Denmark",,,"Web portal for tools registry and discovery, incorporating tool benchmarking and service monitoring information and the use of EDAM for precise scientific tool description. ","Søren Brunak",https://bio.tools/bio.tools,
BiocompR,https://github.com/YoannPa/BiocompR,,"ELIXIR Germany",,,"BiocompR is an R package that improves visualisations commonly used in biology and genomics for data comparison and dataset exploration.","Yoann Pageaud",,
"BioConda & BioContainers",https://github.com/bioconda,,"ELIXIR Germany",,,"Build, test and convert Cloud and HPC software into Linux containers.","Björn Grüning",https://bio.tools/bioconda,
Bioconductor,https://www.bioconductor.org/,,"ELIXIR Ireland",,,"Bioconductor aims to develop and share open source software for precise and repeatable analysis of biological data. We foster an inclusive and collaborative community of developers and data scientists.","Maria Doyle (UL)",https://bio.tools/t?page=1&q=BIOCONDUCTOR&sort=score,https://fairsharing.org/FAIRsharing.81ettx
BiocWorkflowTools,https://bioconductor.org/packages/BiocWorkflowTools/,,"ELIXIR Germany",,,"This bioconductor authoring tool links the journal’s manuscript management system with the Bioconductor nightly build system, thus enabling “continuous Integration”, automated quality control and guaranteed workflow functionality even as underlying resources and tools evolve. A package and tutorial publication are underway, and we have actively helped several authors from the community with workflow authoring.","Wolfgang Huber",https://bio.tools/biocworkflowtools,
"BioData.pt Beacon",https://beacon.biodata.pt,,"ELIXIR Portugal",,,"Beacon project",,,
"BioData.pt Data Stewardship Wizard",https://biodatapt.dsw.elixir-europe.org/wizard/,,"ELIXIR Portugal",,,"Create, plan, collaborate, and bring your data management plans to life with a tool trusted by thousands of people worldwide — from data management pioneers, to international research institutes.",,,
"BioExcel Building Blocks (BioBB)",https://mmb.irbbarcelona.org/biobb/,,"ELIXIR Spain",,,"Biobb (BioExcel building blocks) are Python building blocks wrapping popular computational biomolecular tools.",,https://bio.tools/biobb,
"BioImage Archive",https://www.ebi.ac.uk/bioimage-archive/,,EMBL-EBI,,,"The BioImage Archive is a free, publicly available online resource which stores and distributes biological images. It accepts submissions of data from any imaging modality, as long as the data are either associated with a peer-reviewed publication, or of value beyond a single experiment.","Matthew Hartley",,
"BioImage Informatics Index (BISE)",https://biii.eu/,,"ELIXIR France",,"Recommended Interoperability Resources"," BIII Bio Image informatics Index (www.biii.eu) is a knowledge database of software tools, test image databases and training materials for bio image analysis. Software tools are organized as full protocol of analysis (workflow), specific brick (component) to construct a workflow, or software platform or library (collection).  They are described using Edam Bio Imaging, which is iteratively defined using this website. All entries are exposed following FAIR principles and accessible for other usage with  (ODC-By) v1.0 license.","Perrine Paul-Gilloteaux",https://bio.tools/bise,
"Bioinformatics consulting and analysis of proteomics data",https://www.mpc.ruhr-uni-bochum.de/service/consulting/index.html.en,,"ELIXIR Germany","Proteins and proteomes",,"Either as a cooperation or consultancy service.","Martin Eisenacher",,
biomaRt,https://bioconductor.org/packages/biomaRt/,,"ELIXIR Germany",,,"Provides an R interface to BioMart services. In particular this is the most widely used programmatic access route to query EMBL-EBI’s Ensembl database.","Wolfgang Huber",https://bio.tools/biomart,
"BioMedIT Network",https://www.biomedit.ch/,,"ELIXIR Switzerland",,,"The BioMedIT Network establishes a coordinated nationwide network of secure infrastructures to support computational biomedical research and clinical bioinformatics. Built on the centers of expertise established at partner universities (regional nodes), this network is managed by the Personalized Health Informatics Group, a group of the SIB Swiss Institute for Bioinformatics. ",,,
"Biophysical Proteome Atlas",https://bio2byte.be/proteome/,,"ELIXIR Belgium","Proteins and proteomes",,"Website offering a comprehensive framework for constructing Biophysical Proteomes.","Wim Vranken",,
Biosamples,https://www.ebi.ac.uk/biosamples/,,EMBL-EBI,"Genes and genomes","ELIXIR Deposition Databases","BioSamples stores and supplies descriptions and metadata about biological samples used in research and development by academia and industry. ","Tony Burdett",https://bio.tools/biosamples,http://doi.org/10.25504/fairsharing.ewjdq6
BioStudies,https://www.ebi.ac.uk/biostudies/,,EMBL-EBI,,"Core Data Resources, ELIXIR Deposition Databases","The BioStudies database holds descriptions of biological studies, links to data from these studies in other databases at EMBL-EBI or outside, as well as data that do not fit in the structured archives at EMBL-EBI.","Johanna McEntyre",https://bio.tools/biostudies,http://doi.org/10.25504/fairsharing.mtjvme
BioSurfDB,https://www.biosurfdb.org,,"ELIXIR Portugal","Enzymes, interactions and pathways, Genes and genomes",,"Online database for biodegradation and biosurfactants.",,,https://doi.org/10.25504/FAIRsharing.0ef3b6
BioTextQuest(+),http://bioinformatics.med.uoc.gr/biotextquest,,"ELIXIR Greece",Literature,,"Knowledge integration platform for literature mining and concept discovery","Ioannis Iliopoulos",https://bio.tools/biotextquest,
BioTranslator,https://www.elixir-greece.org/node/65,,"ELIXIR Greece",Literature,,"BioTranslator enables functional interpretation of genomic experiments through pathways analysis with a variety of biomedical ontologies, regulatory genes prioritization and protein network visualization.","Aristotelis Chatzioannou, Eleftherios Pilalis, Theodoros Koutsandreas",https://bio.tools/biotranslator,
"Birmingham Metabolomics Training Centre",https://www.birmingham.ac.uk/facilities/metabolomics-training-centre,,"ELIXIR UK",,,"The Birmingham Metabolomics Training Centre provides training to the metabolomics community in both analytical and computational methods, via face-to-face and online workshops, and from introductory to advanced levels.",,,
BiSearch,http://bisearch.enzim.hu,,"ELIXIR Hungary","Genes and genomes, Proteins and proteomes",,"Primer design and ePCR method for bisulfite treated and untreated DNA sequences (cDNA, genomic)","Arányi, T.,",,
BITOLA,https://ibmi.mf.uni-lj.si/sl/bitola,,"ELIXIR Slovenia",Literature,,"An interactive literature‐based biomedical discovery support system",,,
BRENDA,https://www.brenda-enzymes.org/index.php,,"ELIXIR Germany","Enzymes, interactions and pathways","Core Data Resources","A comprehensive enzyme information system. It is the world’s largest and most widely information system on all aspects of enzymes, including function, structure, mutants, properties like stability, purification. Data download is possible as an integrated text filed or via SOAP.","Dieter Jahn",https://bio.tools/brenda,http://doi.org/10.25504/fairsharing.etp533
BRIDEdb,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-016-1068-8,,"ELIXIR Greece",,,"Mouse brain response to low-dose ionizing radiation (emerging service) ","Christos Ouzounis",,
BridgeDb,https://bridgedb.github.io/,,"ELIXIR Netherlands",,"Recommended Interoperability Resources","A framework to map identifiers between various databases.",,https://bio.tools/bridgedb,http://doi.org/10.25504/fairsharing.5ry74y
BUSCA,https://busca.biocomp.unibo.it/,,"ELIXIR Italy","Proteins and proteomes",,"A web server integrating multiple tools for prediction of protein subcellular localization and topological features","Castrense Savojardo",https://bio.tools/busca,
BUSCO,http://busco.ezlab.org/,,"ELIXIR Switzerland","Evolution and phylogeny",,"BUSCO provides quantitative measures for the assessment of genome assembly and annotation completeness based on evolutionarily informed expectations of gene content.","Evgeny M. Zdobnov",https://bio.tools/busco,
"BYOD (Bring Your Own Data) events (ELIXIR Netherlands)",http://www.dtls.nl/fair-data/byod/,,"ELIXIR Netherlands",,,"ELIXIR-NL can help organise standard events that make data sources more FAIR by applying Linked Data, or help make data repository software more FAIR. Such meetings focus on one or two data sources, and will bring together your experts on the data content and on the usage of the data with experts in data modeling. As an important side-effect such events also educate the participants on what it means to make data FAIR in practice.","Marco Roos",,
"Cafe Variome",https://www.cafevariome.org/,,"ELIXIR UK","Genes and genomes, Proteins and proteomes",,"General‐purpose software for making genotype–phenotype data discoverable in restricted or open access contexts.","Anthony Brookes",https://bio.tools/Cafe_Variome,
CalFitter,https://loschmidt.chemi.muni.cz/calfitter/,,"ELIXIR Czech Republic",,,"Unified platform for comprehensive data fitting and analysis of protein thermal denaturation data. Allows simultaneous global data fitting using any combination of input data types and offers 12 protein unfolding pathway models for selection, including irreversible transitions often missing from other tools. The data fitting produces optimal parameter values, their confidence intervals, and statistical information to define unfolding pathways.","Stanislav Mazurenko",https://bio.tools/calfitter,
CalibraCurve,https://github.com/mpc-bioinformatics/CalibraCurve,,"ELIXIR Germany",,,"Tool for calibration of targeted MS‐based measurements.","Martin Eisenacher",https://bio.tools/calibracurve,
"Cambridge Bioinformatics Training Centre",https://bioinfotraining.bio.cam.ac.uk/,,"ELIXIR UK",,,"A highly successful, well-attended bioinformatics, biostatistics and data science training programmes, which are respected by others within and outside the University of Cambridge.

It provides a broad range of mostly postgraduate, hands-on training courses focused on data science, bioinformatics and computational biology.

Additionally, the Bioinformatics Training Facility is involved in running several undergraduate courses. The Facility continues to manage the Bioinformatics undergraduate Minor Subject as part of the NST Part II Biological and Biomedical Science. This Subject is open to both Natural Science and Medical students and has received extremely positive feedback every year since its inception in 2016.",,,
CAMEO,http://cameo3d.org,,"ELIXIR Switzerland","Molecular and cellular structures, Proteins and proteomes",,"Continuous automated benchmarking of computational protein structure prediction methods (and model quality estimation techniques). CAMEO assessment is based on blind predictions for weekly pre-released targets from PDB. ","Torsten Schwede",https://bio.tools/cameo,http://doi.org/10.25504/fairsharing.dq34p2
"Cancer Hallmarks",https://cancerhallmarks.com/,,"ELIXIR Hungary","Genes and genomes",,"An online platform for testing the enrichment of cancer hallmark genes",,,
"CANcer TExt Mining SharedTask (CANTEMIST)",https://temu.bsc.es/cantemist/,,"ELIXIR Spain",Literature,,"Gold standard of oncology clinical cases annotated with CIE-O 3 terminology",,,
CancerGD.org,http://www.cancergd.org/,,"ELIXIR Ireland",,,"A resource for analyzing and interpreting genetic dependencies in cancer.","Colm Ryan",,
CanSysPlot,https://www.Cansysplot.com/,,"ELIXIR Hungary","Genes and genomes",,"Functional platform for gene expression changes and mutational status in solid tumours",,,
CATH/Gene3D,http://www.cathdb.info/,,"ELIXIR UK","Molecular and cellular structures, Proteins and proteomes","Core Data Resources","A classification of protein structures and sequences that groups protein domains into superfamilies. ","Christine Orengo",https://bio.tools/cath,http://doi.org/10.25504/fairsharing.xgcyyn
"CATS - Crop Analysis Tool Suite",https://cats.ipk-gatersleben.de/,,"ELIXIR Germany",,,"Collection of tools for plant genome sequence analysis (MISA-web, Kmasker Plants, IPK BLAST server, BRIDGE).","Uwe Scholz",https://bio.tools/cats,
"CAVER 3.0",http://caver.cz/,,"ELIXIR Czech Republic","Molecular and cellular structures",,"Tool for analysis of molecular channels in proteins. CAVER Analyst allows interactive visualization of the channels and cavities in protein structures.","Jiří Damborský / David Bednář",https://bio.tools/caver,
CCTOP,http://cctop.ttk.hu,,"ELIXIR Hungary","Proteins and proteomes",,"Tools for processing the topology and structure of transmembrane proteins","Dobson, L",,
CellMix,http://web.cbio.uct.ac.za/~renaud/CRAN/web/CellMix/,,"ELIXIR Ireland","Genes and genomes",,"An R package that incorporates most state-of-the-art deconvolution methods, into an intuitive and extendible framework, providing a single entry point to explore, assess and disentangle gene expression data from heterogeneous samples.","Cathal Seoighe",https://bio.tools/cellmix,
"CellNetAnalyzer (CNA)",https://www2.mpi-magdeburg.mpg.de/projects/cna/cna.html,,"ELIXIR Germany","Enzymes, interactions and pathways",,"CellNetAnalyzer is a MATLAB toolbox for analyzing the structure and function of biological networks.",,https://bio.tools/cellnetanalyzer,
"CellNetAnalyzer CNApy",https://github.com/cnapy-org/CNApy,,"ELIXIR Germany","Enzymes, interactions and pathways",,"An integrated visual environment for metabolic modeling with common methods such as FBA, FVA and Elementary Flux Modes.",,,
Cellosaurus,https://www.cellosaurus.org/,,"ELIXIR Switzerland",,"Core Data Resources","A knowledge resource on cell lines.","Amos Bairoch",https://bio.tools/cellosaurus,http://doi.org/10.25504/fairsharing.hkk309
ChannelsDB,https://channelsdb2.biodata.ceitec.cz/,,"ELIXIR Czech Republic","Chemical biology, Enzymes, interactions and pathways, Genes and genomes, Literature, Molecular and cellular structures, Proteins and proteomes",,"A comprehensive resource of channels, pores and tunnels found in biomacromolecular structures deposited in the Protein Data Bank.",,https://bio.tools/channelsdb,
ChEBI,http://www.ebi.ac.uk/chebi,,EMBL-EBI,"Chemical biology","Core Data Resources","ChEBI (Chemical Entities of Biological Interest) is a dictionary of small molecular entities. It is manually annotated and provides a chemical ontology to describe small molecules, including their biological and chemical roles.","Christoph Steinbeck",https://bio.tools/chebi,http://doi.org/10.25504/fairsharing.62qk8w
ChEMBL,http://www.ebi.ac.uk/chembl,,EMBL-EBI,"Chemical biology","Core Data Resources","ChEMBL is a database of bioactive compounds that focuses on interactions between small molecules and their macromolecular targets, including medicinal chemistry, clinical development and therapeutics data.","John P. Overington",https://bio.tools/chembl,http://doi.org/10.25504/fairsharing.m3jtpg
ChIPSummitDB,https://summit.med.unideb.hu/summitdb/,,"ELIXIR Hungary","Genes and genomes",,"ChIPSummitDB is a comprehensive database of transcription factor binding sites verified by human ChIP-seq experiments",,https://bio.tools/ChIPSummitDB,
CHOPCHOP,https://chopchop.rc.fas.harvard.edu,,"ELIXIR Norway",,,"A web tool for identifying CRISPR–Cas single guide RNA (sgRNA) targets","Eivind Valen",https://bio.tools/chopchop,
ChrAccR,https://greenleaflab.github.io/ChrAccR/,,"ELIXIR Germany",,,"An R package that provides tools for the comprehensive analysis chromatin accessibility data. ",,,
CHRONOS,http://bioconductor.org/packages/release/bioc/html/CHRONOS.html,,"ELIXIR Greece","Proteins and proteomes",,"An R package used for efficient unraveling of the inherent dynamic properties of pathways.","Panos Balomenos, Anastasios Bezerianos",https://bio.tools/chronos,
Circlize,https://cran.r-project.org/web/packages/circlize/index.html,,"ELIXIR Germany",,,"Circlize is an R package used to generated circular visualization.","Zuguang Gu",https://bio.tools/circlize,
CLASTR,https://www.cellosaurus.org/str-search/,,"ELIXIR Switzerland","Molecular and cellular structures",,"CLASTR, the Cellosaurus STR similarity search tool enables users to compare one or more STR profiles with those available in the Cellosaurus cell line knowledge resource. It aims to help researchers in the process of cell line authentication and detecting potential contamination and misidentification cases.",,https://bio.tools/CLASTR,
"Cloud Services",https://elixir-italy.org/,,"ELIXIR Italy",,,"Cineca Cloud farm
	Cloud@ReCaS-Bari
	Cloud Veneto
	CRS4 Orione Cloud farm
	GARR Cloud","Giacinto Donvito",,
Cloud/HPC,https://cloud.denbi.de/,,"ELIXIR Germany",,,"IT Infrastructure for de.NBI users based on ICGC and TCGA PanCancer technology.","Michael Boutros, Rob Russell, Roland Eils",,
ClowdFlows,http://workflow.ijs.si/,,"ELIXIR Slovenia",,,"A service oriented data mining tool",,,
"Clustal Omega",http://clustal.org,,"ELIXIR Ireland",,,"Multiple Sequence Alignment package via on-line server, in collaboration with groups in Germany, the UK and France.","Desmond  Higgins",https://bio.tools/clustalo,
ClustVis,http://biit.cs.ut.ee/clustvis/,,"ELIXIR Estonia","Genes and genomes",,"ClustVis is a web tool for visualizing clustering of multivariate data. This web tool allows users to upload their own data and easily create Principal Component Analysis (PCA) plots and heatmaps.","Jaak Vilo",https://bio.tools/clustvis,
CoCoMaps,http://www.molnac.unisa.it/BioTools/cocomaps/,,"ELIXIR Italy","Enzymes, interactions and pathways, Molecular and cellular structures",,"A server for calculating contact maps of X-ray, NMR and predicted structures.","Luigi Cavallo",https://bio.tools/cocomaps,
"Collaborative Spanish Variant Server (CSVS)",http://csvs.babelomics.org/,,"ELIXIR Spain","Genes and genomes",,"Collaborative Spanish Variant Server (CSVS) is a crowdsourcing initiative to provide information about the genomic variability of the Spanish population to the scientific/medical community.",,https://bio.tools/csvs,
"Collections and registries from the Finnish population: SISU data resource",http://www.sisuproject.fi/,,"ELIXIR Finland","Genes and genomes",,"Supports Finnish national data custodians (biobanks) in building a data resource for Sequence Initiative Suomi and affiliated projects.","Ilkka Lappalainen, Timo Miettinen (FIMM)",https://bio.tools/Sequencing_Initiative_Suomi_SISu,http://doi.org/10.25504/fairsharing.t1a232
Colombos,http://colombos.net/,,"ELIXIR Italy","Genes and genomes",,"Web based portal of organism-specific cross-platform expression compendia of bacterial organisms and grapevine","Kristof Engelen/ Marco Moretto",https://bio.tools/colombos,
ComplexHeatmaps,http://bioconductor.org/packages/devel/bioc/html/ComplexHeatmap.html,,"ELIXIR Germany",,,"ComplexHeatmap is an R package which flexibly arranges multiple heatmaps and self define annotation graphics.","Roland Eils",https://bio.tools/complexheatmap,
"Computer-Assisted Structure Elucidation of Metabolites",https://www.denbi.de/,,,,,"Either as a cooperation or consultancy service.

contact [at] denbi.de","Christoph Steinbeck",,
CoNSEnsX+,http://consensx.itk.ppke.hu/,,"ELIXIR Hungary",,,"A tool to analyze structural ensembles of proteins by assessing their compliance to structural parameters derived from NMR measurements. Can be used both for ordered and disordered proteins and includes an option to select sub-ensembles with better correspondence to the parameters chosen.","Zoltán Gáspári",,
"Consultancy and Support Services",https://ccmi.fit.cvut.cz/en/,,"ELIXIR Czech Republic",,,"Conceptual modelling, especially OntoUML, UML, BORM, DEMO and BPMN and consultancy. Software solutions design, software development and consultancy.","Robert Pergl",,
